,name,latitude,longitude
246,Kaiser Park,40.57851497898776,-73.99541213427234
247,Jackie Robinson,40.806891232183055,-73.93641213069654
248,Inwood Hill Park,40.87348716913609,-73.9256921576388
249,Washington Market Park,40.71709074116347,-74.01155332492279
250,Samuel Seabury Playground,40.78534705260184,-73.95082672175216
251,John Golden Park,40.77388742260697,-73.76823526416987
252,Ruppert Park,40.78095809090121,-73.95013140961677
253,American Museum of Natural History,40.7842150899,-73.9719200711
254,North Rochdale Playground,40.67996793644205,-73.77503655512217
255,Loreto Playground,40.84905801968934,-73.85211929610301
256,A.R.R.O.W. Field House,40.755877572972445,-73.92640186675862
257,Roy Wilkins Recreation Center,40.68709779037936,-73.76928271526207
258,Tudor Park,40.67262271634655,-73.85212945645151
259,Broad Channel,40.60073186973284,-73.82005161120154
260,Fort Washington Park,40.8513502424645,-73.9425609123538
261,Susan E. Wagner High School,40.59735498122648,-74.12512462195434
262,New York University,40.802294456834574,-73.94687340775411
263,Irving Square Park,40.6924428012678,-73.90918444069288
264,Jones Woods Park,40.63717402671264,-74.09076504269655
265,Naples Playground,40.602542778165486,-74.09092782833514
266,West Bronx Recreation Center,40.8439891025,-73.9187240614
267,PS 57,40.797392864502434,-73.9415245225696
268,Detective Keith Williams,40.70185043131138,-73.78351212314483
269,High Rock Park,40.58262064716045,-74.1230287426095
270,P.S. 89,40.71696874853586,-74.01379276420661
271,Sorrentino Recreation Center,40.602429361609936,-73.75135636192766
272,Francis Martin Library,40.85743213620187,-73.90927973353054
273,Barrett Park,40.625134984061845,-74.11556949433155
274,Tottenville High School,40.527543153060336,-74.19295678561573
275,Jennifer's Playground,40.62033431351525,-74.16351011148238
276,Calvert Vaux Park,40.58467257680182,-73.99517946557725
277,Hoover - Manton Playgrounds,40.71147246818106,-73.8212304466578
278,Hoffman Park,40.73280180408104,-73.87212215796595
279,Coney Island Creek Park,40.58145217764424,-74.00471724740508
280,Silver Lake Park,40.6212799490116,-74.10053007078137
281,Cedar Playground,40.8551222354759,-73.91738858813123
282,Star Spangled Playground,40.692047807371296,-73.95843978386513
283,Potomac Playground,40.682067723103046,-73.94430358943981
284,Thomas Boyland Park,40.68172130309648,-73.90708714991794
285,De Matti Playground,40.615583967,-74.073575078
286,West Playground,40.58708392542759,-73.97007084677736
287,100% Playground,40.64678141589236,-73.89947686459503
288,Hamilton Fish Park,40.71998067401304,-73.98145717838524
289,Century Playground,40.57756767706992,-73.97084843912651
290,Fox Playground,40.63131023334879,-73.9238719562081
291,Hilltop Playground,40.675325642025136,-73.91433859809702
292,Cypress Hills Playground,40.670443695734726,-73.87168119273417
293,Walker Park,40.64371736488016,-74.10882791559712
294,Lt. Lia Playground,40.64356867219578,-74.0798429400674
295,Paerdegat Park,40.63806142520611,-73.93813381689118
296,William F. Passannante Ballfield,40.72855691891089,-74.00225325609404
297,Fort Independence Playground,40.8818912360168,-73.8949071689281
298,McDonald Playground,40.601148560273295,-73.97216857565621
299,Faber Pool and Park,40.64101232147076,-74.13535654624627
300,St. John's Park,40.67386186519028,-73.9348909447162
301,Slattery Playground,40.85713998999967,-73.89822219575373
302,Playground for All Children,40.7408820080825,-73.84950827936643
303,Betsy Head Park,40.663100290001765,-73.91300085198611
304,Corona Golf Playground,40.74775034355928,-73.85403435753571
305,Nautilus Playground,40.57172489115277,-73.99626806059774
306,Montbellier Park,40.67401192716488,-73.7564059097635
307,Elmhurst,40.738509538852085,-73.87686970526758
308,Hancock Park,40.8095337875226,-73.95327620939166
309,Linden Playground,40.65825087827369,-73.88746896049673
310,Drew Playground,40.8329736460805,-73.90332444890534
311,Allison Pond Park,40.63709779085728,-74.10130296448718
312,Vinmont Veteran Park,40.902445942844544,-73.90493886969426
313,Cherry Tree Park,40.787159995758486,-73.94723136219534
314,Levy Playground,40.633796732586944,-74.1291211963601
315,Josephine Caminiti Playground,40.74378653772786,-73.8615523332375
316,Joseph Austin Playground,40.71638467202806,-73.79879291643483
317,Mott Playground,40.83127989486265,-73.91473314368044
318,Imagination Playground,40.7055179093249,-74.00156900625923
319,Galileo Playground,40.84860443655754,-73.91568879179282
320,Sean's Place,40.76077196220753,-73.91832746357754
321,Zimmerman Playground,40.8660112932,-73.8684204566
322,Pomonok Playground,40.73609868356085,-73.81393099133747
323,Judge Moses Weinstein Playground,40.7180182666812,-73.82058528429934
324,Rochdale Park,40.67411421597716,-73.7744164570544
325,Russell Sage Playground,40.72377497857119,-73.85147543203495
326,Jesse Owens Playground,40.6915700148,-73.9323362029
327,Conch Playground,40.59599812329534,-73.78067534934787
328,Broad Channel American Park,40.59833160614159,-73.82160941796919
329,P.O. Serrano Playground,40.82347350897408,-73.85052033655361
330,Franz Sigel Park,40.823362433605006,-73.92550790101276
331,Hammel Playground,40.58817635782475,-73.80942513469549
332,Socrates Sculpture Park,40.76869038361498,-73.93659232801846
333,Van Alst Playground,40.77058086659716,-73.92827386582545
334,Kissena Corridor Park,40.74159941204368,-73.78152038102498
335,Merriam Playground,40.839637467548656,-73.92676861017459
336,Howard Bennett Playground,40.81330219894578,-73.93783035157027
337,Spring Creek Park,40.65704,-73.861479
338,Cedar Grove Playground,40.73616117812984,-73.824470144124
339,Mount Hope Playground,40.850230512542765,-73.90964815242604
340,Beanstalk Playground,40.853814511700286,-73.9167484109696
341,Park Of The Americas,40.74894584599028,-73.86177741584908
342,Lawrence Virgilio Playground,40.74748592578904,-73.9105989494978
343,De Witt Clinton Park,40.76819786618601,-73.99463599627873
344,Marion Hopkinson Playground,40.68179593934607,-73.91355109224534
345,McKinley Playground,40.72426110771112,-73.98562625589997
346,Newtown Playground,40.736241875824014,-73.86982430537425
347,De Matti Park,40.61453272254036,-74.07418480595251
348,Bennett Park,40.85284979348113,-73.93811113321674
349,Martin Luther King Jr. Playground,40.66741272099222,-73.89020403994412
350,James J Walker Park,40.72979888070067,-74.0061524808033
351,Dutch Kills Playground,40.75724510581043,-73.93324907170143
352,Davidson Playground,40.85506062295522,-73.90770792150582
353,Grand Playground,40.856175214361166,-73.90712528725764
354,Cunningham Park,40.730883795073495,-73.7710050346764
355,Sakura Park,40.813069207931065,-73.96207854375668
356,Metcalf Playground,40.8463500009,-73.898660025
357,Minetta Playground,40.7306816971804,-74.00132451478083
358,Downing Street Playground,40.72985381043053,-74.00271447082547
359,Frank D. O'Connor Playground,40.74420569179135,-73.88671743462034
360,Burns Playground,40.864306410482975,-73.83655103776694
361,St. Andrew's Playground,40.678799242413206,-73.94201086222824
362,East River Esplanade,40.74587521644981,-73.96967831108064
363,Fort Independence playground,40.8818912360168,-73.8949071689281
364,Walton Park,40.85525917625579,-73.90517851473645
365,queensbridge,,
366,Peters Field,40.70601480521498,-73.77483943248959
367,Spuyten Duyvil Playground,40.88704945575096,-73.91587335356928
368,Blake Hobbs Playground,40.78916323865528,-73.9459495705295
369,Fountain Of Youth Playground,40.814576738624446,-73.90522988415414
370,Bloomingdale Playground,40.79936008583565,-73.96621282528332
371,Union Square Park,40.73643890885321,-73.98991829136986
372,Williamsbridge Oval,40.877627439415136,-73.87738571638006
373,Grand Ferry Park,40.71682359672439,-73.96740774499862
374,Brookfield Park,40.56542657268347,-74.16110622279528
375,Brooklyn Bridge Park,40.697792,-73.99930399999998
376,Parade Ground,40.650773928341806,-73.96851377273347
377,River Park,40.8525650546,-73.91367006209998
378,Rockaway Beach,40.57703769137953,-73.83667786378555
379,Manhattan Beach Park,40.57696476068743,-73.94412062457721
380,Homecrest Playground,40.58610019683084,-73.95729161606157
381,Eastchester Playground,40.86976733605563,-73.85269956356406
382,Sutton Place Park,40.756693316608526,-73.9602107577748
383,Collect Pond Park,40.71632896381024,-74.00181983393321
384,Wagner Playground,40.79945804235208,-73.93436200757354
385,People's Park,40.8094202988,-73.91667742539998
386,Beach 30th Street Playground,40.592427097308025,-73.76264837829197
387,Devoe Park,40.86367711673411,-73.90491772070051
388,Sol Lain Plgd,40.71440132823593,-73.98397772595389
389,LORETO PLAYGROUND,40.84905801968934,-73.85211929610301
390,Tompkinsville Park,40.637438200714016,-74.07639193256507
391,Haffen Pool,40.8732651094,-73.8374840022
392,Mullaly Pool,40.8308193574,-73.92449973169998
393,Bushwick Pool,40.7018679171479,-73.93937730987683
394,Starlight Park,40.83263373771148,-73.88249740616054
395,Howard Pool,40.67213324636449,-73.91017853443918
396,Annunciation Playground,40.81865777902895,-73.95212418879666
397,Dawson Playground,40.819492076,-73.897875027
398,Peter Minuit Playground,40.79477074571797,-73.94723147236206
399,Bowne Park,40.7705204499281,-73.8073631011127
400,Jennifer Playground,40.62033431351525,-74.16351011148238
401,Playground Seventy Five,40.726564205769,-73.8074585212291
402,Osborn Playground,40.65548804581728,-73.90584577549205
403,Beach Channel Park,40.582072449358975,-73.84255737868203
404,Breininger Park,40.7211950548,-73.74238006839998
405,Lozada Playground,40.80782173426807,-73.92507924545289
406,Playground One Twenty Five CXXV,40.81078944896669,-73.95609685487814
407,Robert Moses Playground,40.748080662097095,-73.96869497231566
408,Astoria Health Playground,40.767937547322894,-73.93267130214849
409,Frederick B. Judge Playground,40.68311410930353,-73.80792779105832
410,Soundview,40.81811782032384,-73.86752335342953
411,Dr. Ronald E. McNair Playground,40.802432545924674,-73.93796389366574
412,Torsney Playground,40.7468970651,-73.9207910194
413,Beach 17 Playground,40.59418059296962,-73.75056235653892
414,Herman Dolgon Playground,40.59627051715315,-73.94042663468832
415,Little Claremont Playground,40.83894049447393,-73.90369533556844
416,Colonel David Marcus Playground,40.60988005710849,-73.96933662772318
417,Athens Square,40.76781279422176,-73.92228381510851
418,Colucci Playground,40.852461246004765,-73.83467500091616
419,Lillian D Wald Playground,40.71204018306453,-73.98435301642473
420,Sutton Parks,40.75615456081905,-73.96096706171495
421,Police Officer Nicholas Demutiis Park,40.68177299672603,-73.839283079791
422,Bufano Park,40.83800844277564,-73.83100105546397
423,Pleasant Village Community Garden,40.796572809404765,-73.93160560367491
424,Booker T. Washington Playground,40.80053403214786,-73.96277931020755
425,"Martin Luther King, Jr. Playground",40.80032572396372,-73.95031634557395
426,Brighton Playground,40.5751798656077,-73.96539625508336
427,Park of the Americas,40.74894584599028,-73.86177741584908
428,Corlears Hook Park,40.711739767145126,-73.97978755040178
429,Carmansville Playground,40.82914776413859,-73.94430705439889
430,Brownsville Playground,40.656223347141534,-73.90278394180345
431,Allerton Playground,40.86701417331684,-73.85060430004694
432,LaTourette Park & Golf Course,40.576121428053135,-74.14682281261518
433,Flynn Playground,40.82091641203419,-73.9118800480285
434,St. Nicholas Playground South,40.81221512051076,-73.94914989863672
435,Sheltering Arms Playground,40.81517519686314,-73.95559649595451
436,St. Albans,40.69252581497865,-73.76010821909614
437,Snug Harbor Cultural Center,40.64405138357807,-74.10175503478045
438,Playground One,40.71226804590559,-73.99739983055552
439,The Painter's Playground,40.72041106893748,-73.85966501433916
440,Hallets Cove Playground,40.77283325114147,-73.93598828114095
441,Metropolitan Recreation Center,40.71501243248181,-73.96031695414074
442,Turtle Playground,40.74213894736644,-73.82743223890508
443,Long Island City YMCA,40.7453982316385,-73.93218718355372
444,Bronxdale High School,40.860380979118645,-73.86030157702504
445,South Bronx Charter School,40.80290918267978,-73.9177800613605
446,Holcombe Rucker Park,40.82984624385681,-73.9358890621104
447,Sidney Hillman Playground,40.71521834553663,-73.97965743072719
448,Kelly Park Playground,40.60344487673123,-73.95889497951019
449,Eugene McCabe Field,40.802688613363415,-73.94224090037619
450,Peter's Field,40.73572528222681,-73.98063298901123
451,Wald Playground,40.71969034463496,-73.97688215009501
452,Taylor Playground,40.83899566993157,-73.86610129176916
